route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
4768,3893A5283,573038A3893B5283,,Journal Square,0,,1,0
859,3528A4969,158261A3528B4969,,33rd Street,1,,11,0
860,3528A4969,158529A3528B4969,,World Trade Center,1,,10,0
862,3528A4969,158982A3528B4969,,Newark,0,,9,0
862,3528A4969,159000A3528B4969,,Newark,0,,9,0
1024,3943A5293,160049A3943B5293,,Journal Square via Hoboken,0,,4,0
1024,3906A5310,159607A3906B5310,,33rd via Hoboken,1,,2,0
1024,3906A5293,159759A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3907A5292,159386A3907B5292,,33rd via Hoboken,1,,2,0
859,3528A4969,158375A3528B4969,,Hoboken,0,,7,0
862,3528A4969,159191A3528B4969,,World Trade Center,1,,8,0
1024,3907A5293,159492A3907B5293,,Journal Square via Hoboken,0,,4,0
860,3894A5283,572543A3894B5283,,World Trade Center,1,,10,0
1024,3906A5310,159776A3906B5310,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159231A3528B4969,,World Trade Center,1,,8,0
862,3530A4969,602570A3530B4969,,World Trade Center,1,,8,0
860,3528A4969,158596A3528B4969,,World Trade Center,1,,10,0
861,3528A4969,160118A3528B4969,,33rd Street,1,,5,0
860,3893A5283,572445A3893B5283,,World Trade Center,1,,10,0
860,3894A5283,572783A3894B5283,,Hoboken,0,,3,0
861,3528A4969,160070A3528B4969,,33rd Street,1,,5,0
1024,3906A5310,159726A3906B5310,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158361A3528B4969,,33rd Street,1,,11,0
859,3528A4969,158327A3528B4969,,33rd Street,1,,11,0
862,3530A4969,602568A3530B4969,,World Trade Center,1,,8,0
859,3528A4969,158437A3528B4969,,Hoboken,0,,7,0
1024,3907A5292,159396A3907B5292,,33rd via Hoboken,1,,2,0
1024,3906A5292,159765A3906B5292,,Journal Square via Hoboken,0,,4,0
860,3894A5283,572714A3894B5283,,Hoboken,0,,3,0
862,3528A4969,159040A3528B4969,,Newark,0,,9,0
1024,3906A5292,159644A3906B5292,,33rd via Hoboken,1,,2,0
859,3528A4969,158269A3528B4969,,33rd Street,1,,11,0
862,3529A4969,602438A3529B4969,,World Trade Center,1,,8,0
861,3528A4969,160254A3528B4969,,Journal Square,0,,6,0
860,3894A5283,572743A3894B5283,,Hoboken,0,,3,0
4768,3894A5283,573120A3894B5283,,Journal Square,0,,1,0
861,3528A4969,160117A3528B4969,,33rd Street,1,,5,0
1024,3941A5283,582211A3941B5283,,Journal Square via Hoboken,0,,4,0
1024,3906A5292,159676A3906B5292,,33rd via Hoboken,1,,2,0
4768,3893A5283,572995A3893B5283,,Journal Square,0,,1,0
1024,3943A5293,160029A3943B5293,,33rd via Hoboken,1,,2,0
1024,3906A5292,159634A3906B5292,,33rd via Hoboken,1,,2,0
1024,3907A5310,159399A3907B5310,,33rd via Hoboken,1,,2,0
862,3530A4969,602606A3530B4969,,World Trade Center,1,,8,0
1024,3906A5292,159693A3906B5292,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159070A3528B4969,,Newark,0,,9,0
860,3528A4969,158557A3528B4969,,World Trade Center,1,,10,0
1024,3906A5293,159762A3906B5293,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160248A3528B4969,,Journal Square,0,,6,0
1024,3906A5310,159623A3906B5310,,33rd via Hoboken,1,,2,0
1024,3906A5293,159775A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3907A5292,159431A3907B5292,,33rd via Hoboken,1,,2,0
1024,3907A5310,159377A3907B5310,,33rd via Hoboken,1,,2,0
861,3528A4969,160109A3528B4969,,33rd Street,1,,5,0
862,3528A4969,159055A3528B4969,,Newark,0,,9,0
1024,3906A5310,159769A3906B5310,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159013A3528B4969,,Newark,0,,9,0
862,3530A4969,602487A3530B4969,,Newark,0,,9,0
861,3528A4969,160128A3528B4969,,33rd Street,1,,5,0
862,3528A4969,159159A3528B4969,,World Trade Center,1,,8,0
862,3528A4969,159218A3528B4969,,World Trade Center,1,,8,0
861,3528A4969,160291A3528B4969,,Journal Square,0,,6,0
1024,3906A5292,159683A3906B5292,,Journal Square via Hoboken,0,,4,0
860,3893A5283,572665A3893B5283,,Hoboken,0,,3,0
4768,3894A5283,572944A3894B5283,,Hoboken,1,,12,0
1024,3906A5292,159600A3906B5292,,33rd via Hoboken,1,,2,0
862,3528A4969,159152A3528B4969,,World Trade Center,1,,8,0
4768,3893A5283,572880A3893B5283,,Hoboken,1,,12,0
862,3528A4969,159048A3528B4969,,Newark,0,,9,0
1024,3906A5293,159674A3906B5293,,33rd via Hoboken,1,,2,0
1024,3906A5292,159668A3906B5292,,33rd via Hoboken,1,,2,0
861,3528A4969,160240A3528B4969,,Journal Square,0,,6,0
860,3528A4969,158618A3528B4969,,World Trade Center,1,,10,0
1024,3906A5293,159626A3906B5293,,33rd via Hoboken,1,,2,0
860,3528A4969,158627A3528B4969,,World Trade Center,1,,10,0
1024,3943A5292,160041A3943B5292,,Journal Square via Hoboken,0,,4,0
862,3530A4969,602515A3530B4969,,Newark,0,,9,0
860,3894A5283,572564A3894B5283,,World Trade Center,1,,10,0
860,3528A4969,158732A3528B4969,,Hoboken,0,,3,0
860,3894A5283,572580A3894B5283,,World Trade Center,1,,10,0
4768,3893A5283,572986A3893B5283,,Journal Square,0,,1,0
4768,3894A5283,572931A3894B5283,,Hoboken,1,,12,0
4768,3894A5283,573075A3894B5283,,Journal Square,0,,1,0
1024,3907A5292,159426A3907B5292,,33rd via Hoboken,1,,2,0
1024,3906A5310,159604A3906B5310,,33rd via Hoboken,1,,2,0
1024,3907A5292,159372A3907B5292,,33rd via Hoboken,1,,2,0
862,3528A4969,159263A3528B4969,,World Trade Center,1,,8,0
